Id,Time[ns],Timing: Times
126,4015876000.00,2.300 ms (434.688 Hz)
127,4018176500.00,2.273 ms (439.850 Hz)
128,4020450000.00,2.275 ms (439.560 Hz)
129,4022725000.00,2.275 ms (439.657 Hz)
130,4024999500.00,2.275 ms (439.657 Hz)
131,4027274000.00,2.275 ms (439.657 Hz)
132,4029548500.00,2.274 ms (439.754 Hz)
133,4031822500.00,2.276 ms (439.464 Hz)
134,4034098000.00,1.115 ms (896.861 Hz)
135,4035213000.00,1.143 ms (874.891 Hz)
136,4036356000.00,1.143 ms (874.508 Hz)
137,4037499500.00,2.300 ms (434.688 Hz)
138,4039800000.00,2.273 ms (439.850 Hz)
139,4042073500.00,1.116 ms (896.057 Hz)
140,4043189500.00,1.143 ms (874.891 Hz)
141,4044332500.00,1.142 ms (875.657 Hz)
142,4045474500.00,2.302 ms (434.499 Hz)
143,4047776000.00,2.272 ms (440.141 Hz)
144,4050048000.00,2.272 ms (440.238 Hz)
145,4052319500.00,1.115 ms (897.263 Hz)
146,4053434000.00,1.141 ms (876.040 Hz)
147,4054575500.00,2.300 ms (434.688 Hz)
148,4056876000.00,2.273 ms (439.850 Hz)
149,4059149500.00,2.272 ms (440.238 Hz)
150,4061421000.00,201.218 ms (4.970 Hz)
151,4262638500.00,13.711 ms (72.934 Hz)
152,4276349500.00,1.143 ms (874.891 Hz)
153,4277492500.00,1.144 ms (874.126 Hz)
154,4278636500.00,1.143 ms (875.274 Hz)
155,4279779000.00,1.142 ms (875.657 Hz)
156,4280921000.00,1.141 ms (876.808 Hz)
157,4282061500.00,1.145 ms (873.362 Hz)
158,4283206500.00,1.143 ms (875.274 Hz)
159,4284349000.00,1.143 ms (874.891 Hz)
160,4285492000.00,2.300 ms (434.877 Hz)
161,4287791500.00,2.275 ms (439.560 Hz)
162,4290066500.00,2.276 ms (439.367 Hz)
163,4292342500.00,2.275 ms (439.560 Hz)
164,4294617500.00,2.278 ms (438.982 Hz)
165,4296895500.00,2.276 ms (439.271 Hz)
166,4299172000.00,2.275 ms (439.657 Hz)
167,4301446500.00,2.275 ms (439.657 Hz)
168,4303721000.00,1.117 ms (895.255 Hz)
169,4304838000.00,1.142 ms (875.657 Hz)
170,4305980000.00,1.139 ms (878.349 Hz)
171,4307118500.00,2.300 ms (434.877 Hz)
172,4309418000.00,2.273 ms (439.947 Hz)
173,4311691000.00,1.116 ms (896.057 Hz)
174,4312807000.00,1.139 ms (878.349 Hz)
175,4313945500.00,1.141 ms (876.808 Hz)
176,4315086000.00,2.294 ms (435.920 Hz)
177,4317380000.00,2.270 ms (440.432 Hz)
178,4319650500.00,2.271 ms (440.335 Hz)
179,4321921500.00,1.117 ms (895.255 Hz)
180,4323038500.00,1.139 ms (877.963 Hz)
181,4324177500.00,2.296 ms (435.445 Hz)
182,4326474000.00,2.273 ms (440.044 Hz)
183,4328746500.00,2.273 ms (439.850 Hz)
184,4331020000.00,40.166 ms (24.896 Hz)
185,4371186500.00,11.378 ms (87.893 Hz)
186,4382564000.00,228.094 ms (4.384 Hz)
187,4610658000.00,13.654 ms (73.241 Hz)
188,4624311500.00,1.143 ms (875.274 Hz)
189,4625454000.00,1.141 ms (876.424 Hz)
190,4626595000.00,1.141 ms (876.808 Hz)
191,4627735500.00,1.141 ms (876.808 Hz)
192,4628876000.00,1.143 ms (874.508 Hz)
193,4630019500.00,1.141 ms (876.424 Hz)
194,4631160500.00,1.148 ms (871.460 Hz)
195,4632308000.00,1.143 ms (874.508 Hz)
196,4633451500.00,2.302 ms (434.405 Hz)
197,4635753500.00,2.276 ms (439.464 Hz)
198,4638029000.00,2.275 ms (439.657 Hz)
199,4640303500.00,2.276 ms (439.464 Hz)
200,4642579000.00,2.276 ms (439.464 Hz)
201,4644854500.00,2.273 ms (439.947 Hz)
202,4647127500.00,2.274 ms (439.754 Hz)
203,4649401500.00,2.273 ms (440.044 Hz)
204,4651674000.00,1.117 ms (895.255 Hz)
205,4652791000.00,1.141 ms (876.424 Hz)
206,4653932000.00,1.141 ms (876.808 Hz)
207,4655072500.00,2.302 ms (434.499 Hz)
208,4657374000.00,2.276 ms (439.367 Hz)
209,4659650000.00,1.117 ms (894.855 Hz)
210,4660767500.00,1.144 ms (873.744 Hz)
211,4661912000.00,1.145 ms (872.981 Hz)
212,4663057500.00,2.302 ms (434.311 Hz)
213,4665360000.00,2.276 ms (439.367 Hz)
214,4667636000.00,2.275 ms (439.560 Hz)
215,4669911000.00,1.144 ms (874.126 Hz)
216,4671055000.00,1.117 ms (895.656 Hz)
217,4672171500.00,2.299 ms (434.972 Hz)
218,4674470500.00,2.276 ms (439.464 Hz)
219,4676746000.00,2.276 ms (439.367 Hz)
220,4679022000.00,40.172 ms (24.893 Hz)
221,4719194500.00,11.390 ms (87.796 Hz)
222,4730584500.00,97.136 ms (10.295 Hz)
223,4827720500.00,11.397 ms (87.742 Hz)
224,4839117500.00,97.203 ms (10.288 Hz)
225,4936320500.00,11.411 ms (87.635 Hz)
